dates,prices,card,expansion
26.03.2020,1.64,Acorn-Catapult,Commander
28.03.2020,1.0,Acorn-Catapult,Commander
01.04.2020,0.47,Acorn-Catapult,Commander
08.04.2020,1.49,Acorn-Catapult,Commander
14.04.2020,1.0,Acorn-Catapult,Commander
16.04.2020,0.18,Acorn-Catapult,Commander
18.04.2020,0.3,Acorn-Catapult,Commander
19.04.2020,0.66,Acorn-Catapult,Commander
21.04.2020,2.15,Acorn-Catapult,Commander
22.04.2020,0.89,Acorn-Catapult,Commander
23.04.2020,1.39,Acorn-Catapult,Commander
24.04.2020,1.05,Acorn-Catapult,Commander
25.04.2020,0.46,Acorn-Catapult,Commander
27.04.2020,0.23,Acorn-Catapult,Commander
28.04.2020,0.81,Acorn-Catapult,Commander
30.04.2020,1.12,Acorn-Catapult,Commander
01.05.2020,1.24,Acorn-Catapult,Commander
03.05.2020,2.29,Acorn-Catapult,Commander
05.05.2020,1.4,Acorn-Catapult,Commander
06.05.2020,0.5,Acorn-Catapult,Commander
07.05.2020,0.8,Acorn-Catapult,Commander
09.05.2020,1.01,Acorn-Catapult,Commander
10.05.2020,0.99,Acorn-Catapult,Commander
11.05.2020,0.25,Acorn-Catapult,Commander
13.05.2020,1.87,Acorn-Catapult,Commander
14.05.2020,0.94,Acorn-Catapult,Commander
15.05.2020,0.75,Acorn-Catapult,Commander
16.05.2020,0.38,Acorn-Catapult,Commander
18.05.2020,1.0,Acorn-Catapult,Commander
19.05.2020,0.2,Acorn-Catapult,Commander
13.04.2020,9.71,Karador-Ghost-Chieftain-V-1,Commander
14.04.2020,2.99,Karador-Ghost-Chieftain-V-1,Commander
15.04.2020,2.99,Karador-Ghost-Chieftain-V-1,Commander
16.04.2020,6.75,Karador-Ghost-Chieftain-V-1,Commander
17.04.2020,9.99,Karador-Ghost-Chieftain-V-1,Commander
18.04.2020,7.99,Karador-Ghost-Chieftain-V-1,Commander
19.04.2020,8.37,Karador-Ghost-Chieftain-V-1,Commander
20.04.2020,7.59,Karador-Ghost-Chieftain-V-1,Commander
21.04.2020,8.99,Karador-Ghost-Chieftain-V-1,Commander
22.04.2020,9.94,Karador-Ghost-Chieftain-V-1,Commander
25.04.2020,5.5,Karador-Ghost-Chieftain-V-1,Commander
26.04.2020,6.47,Karador-Ghost-Chieftain-V-1,Commander
29.04.2020,4.49,Karador-Ghost-Chieftain-V-1,Commander
30.04.2020,4.75,Karador-Ghost-Chieftain-V-1,Commander
01.05.2020,8.0,Karador-Ghost-Chieftain-V-1,Commander
02.05.2020,4.49,Karador-Ghost-Chieftain-V-1,Commander
03.05.2020,4.95,Karador-Ghost-Chieftain-V-1,Commander
04.05.2020,2.99,Karador-Ghost-Chieftain-V-1,Commander
05.05.2020,8.94,Karador-Ghost-Chieftain-V-1,Commander
08.05.2020,6.95,Karador-Ghost-Chieftain-V-1,Commander
09.05.2020,7.78,Karador-Ghost-Chieftain-V-1,Commander
11.05.2020,8.65,Karador-Ghost-Chieftain-V-1,Commander
12.05.2020,9.93,Karador-Ghost-Chieftain-V-1,Commander
13.05.2020,5.45,Karador-Ghost-Chieftain-V-1,Commander
